id1,id2,lat,lon,elev
,,33.9125,102.1791667,3428
,,33.9125,102.2208333,3451
,,33.9125,102.2625,3453
,,33.9125,102.3041667,3443
,,33.9125,102.3458333,3472
,,33.9125,102.3875,3439
,,33.9125,102.4291667,3424
,,33.9125,102.4708333,3427
,,33.9125,102.5125,3435
,,33.9125,102.5541667,3440
,,33.9125,102.5958333,3427
,,33.9125,102.6375,3425
,,33.9125,102.6791667,3425
,,33.9125,102.7208333,3426
,,33.9125,102.7625,3425
,,33.9125,102.8041667,3425
,,33.9125,102.8458333,3424
,,33.9125,102.8875,3439
,,33.9125,102.9291667,3488
,,33.9125,102.9708333,3542
,,33.9125,103.0125,3628
,,33.9125,103.0541667,3744
,,33.9125,103.0958333,3532
,,33.9125,103.1375,3357
,,33.9125,103.1791667,3305
,,33.9125,103.2208333,3305
,,33.9125,103.2625,3081
,,33.9125,103.3041667,3042
,,33.9125,103.3458333,3066
,,33.9125,103.3875,2635
,,33.9125,103.4291667,2653
,,33.9125,103.4708333,2667
,,33.9125,103.5125,3094
,,33.9125,103.5541667,3551
,,33.9125,103.5958333,2942
,,33.9125,103.6375,3096
,,33.9125,103.6791667,2878
,,33.9125,103.7208333,2657
,,33.9125,103.7625,2299
,,33.9125,103.8041667,3054
,,33.9125,103.8458333,3284
,,33.9125,103.8875,2692
,,33.9125,103.9291667,2587
,,33.9125,103.9708333,2199
,,33.9125,104.0125,2324
,,33.9125,104.0541667,1789
,,33.9125,104.0958333,1842
,,33.9125,104.1375,2040
,,33.9125,104.1791667,2259
,,33.9125,104.2208333,3103
,,33.9125,104.2625,3372
,,33.9125,104.3041667,3605
,,33.9125,104.3458333,3362
,,33.9125,104.3875,2645
,,33.9125,104.4291667,2596
,,33.9125,104.4708333,2835
,,33.9125,104.5125,2302
,,33.9125,104.5541667,1995
,,33.9125,104.5958333,2172
,,33.9125,104.6375,2378
,,33.9125,104.6791667,2085
,,33.9125,104.7208333,1895
,,33.9125,104.7625,1857
,,33.9125,104.8041667,1887
,,33.9125,104.8458333,1821
,,33.9125,104.8875,1905
,,33.9125,104.9291667,2080
,,33.9125,104.9708333,2173
,,33.9125,105.0125,2162
,,33.9125,105.0541667,1567
,,33.9125,105.0958333,2055
,,33.9125,105.1375,2052
,,33.9125,105.1791667,1987
,,33.9125,105.2208333,1815
,,33.9125,105.2625,1905
,,33.9125,105.3041667,1856
,,33.9125,105.3458333,1777
,,33.9125,105.3875,1820
,,33.9125,105.4291667,1927
,,33.9125,105.4708333,1921
,,33.9125,105.5125,1757
,,33.9125,105.5541667,1613
,,33.9125,105.5958333,1511
,,33.9125,105.6375,1653
,,33.9125,105.6791667,1510
,,33.9125,105.7208333,1493
,,33.9125,105.7625,1415
,,33.9125,105.8041667,1269
,,33.9125,105.8458333,1211
,,33.9125,105.8875,1206
,,33.9125,105.9291667,1247
,,33.9125,105.9708333,1226
,,33.9125,106.0125,1358
,,33.9125,106.0541667,1296
,,33.9125,106.0958333,1205
,,33.9125,106.1375,1080
,,33.9125,106.1791667,998
,,33.9125,106.2208333,1155
,,33.9125,106.2625,1164
,,33.9125,106.3041667,1080
,,33.9125,106.3458333,1179
,,33.9125,106.3875,1233
,,33.9125,106.4291667,1127
,,33.9125,106.4708333,1142
,,33.9125,106.5125,1291
,,33.9125,106.5541667,1341
,,33.9125,106.5958333,1578
,,33.9125,106.6375,1784
,,33.9125,106.6791667,1685
,,33.9125,106.7208333,1619
,,33.9125,106.7625,1673
,,33.9125,106.8041667,1758
,,33.9125,106.8458333,1872
,,33.9125,106.8875,1775
,,33.9125,106.9291667,1570
,,33.9125,106.9708333,1411
,,33.9125,107.0125,1376
,,33.9125,107.0541667,1757
,,33.9125,107.0958333,1604
,,33.9125,107.1375,1503
,,33.9125,107.1791667,1868
,,33.9125,107.2208333,1899
,,33.9125,107.2625,1706
,,33.9125,107.3041667,1828
,,33.9125,107.3458333,1993
,,33.9125,107.3875,2346
,,33.9125,107.4291667,2440
,,33.9125,107.4708333,2328
,,33.9125,107.5125,2015
,,33.9125,107.5541667,2519
,,33.9125,107.5958333,2447
,,33.9125,107.6375,2489
,,33.9125,107.6791667,2704
,,33.9125,107.7208333,2472
,,33.9125,107.7625,2540
,,33.9125,107.8041667,2130
,,33.9125,107.8458333,1805
